installations,gplay-name,gplay-technical-name,branding,device
4717,Google Pixel 8 Pro,google husky,Google,husky
2885,Google Pixel 7,google panther,Google,panther
2806,Google Pixel 8,google shiba,Google,shiba
2510,Google Pixel 7 Pro,google cheetah,Google,cheetah
2444,Google Pixel 9 Pro XL,google komodo,Google,komodo
2370,Google Pixel 6a,google bluejay,Google,bluejay
1953,Google Pixel 9 Pro,google caiman,Google,caiman
1460,Google Pixel 6,google oriole,Google,oriole
1323,Google Pixel 7a,google lynx,Google,lynx
1239,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
1048,Google Pixel 9,google tokay,Google,tokay
1001,Google Pixel 6 Pro,google raven,Google,raven
984,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
950,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
820,Google Pixel 8a,google akita,Google,akita
529,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
514,Samsung Galaxy S25 Ultra,samsung pa3q,Samsung,pa3q
502,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
397,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
379,CMF by Nothing Phone 1,Nothing Tetris,Nothing,Tetris
334,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
330,Google Pixel 9 Pro Fold,google comet,Google,comet
307,Google Pixel 9a,google tegu,Google,tegu
293,Nothing Phone (2a),Nothing Pacman,Nothing,Pacman
282,Samsung Galaxy A55 5G,samsung a55x,Samsung,a55x
280,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
264,Samsung Galaxy A05,samsung a05m,Samsung,a05m
246,POCO X7 Pro,POCO rodin,POCO,rodin
244,Samsung Galaxy S20 FE 5G,samsung r8q,Samsung,r8q
243,Samsung Galaxy A34 5G,samsung a34x,Samsung,a34x
