installations,gplay-name,gplay-technical-name,branding,device
4081,Google Pixel 8 Pro,google husky,Google,husky
2578,Google Pixel 7,google panther,Google,panther
2559,Google Pixel 8,google shiba,Google,shiba
2259,Google Pixel 9 Pro XL,google komodo,Google,komodo
2205,Google Pixel 7 Pro,google cheetah,Google,cheetah
2006,Google Pixel 9 Pro,google caiman,Google,caiman
1914,Google Pixel 6a,google bluejay,Google,bluejay
1541,Google Pixel 10 Pro XL,google mustang,Google,mustang
1497,Google Pixel 9,google tokay,Google,tokay
1267,Google Pixel 7a,google lynx,Google,lynx
1260,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
1251,Google Pixel 10 Pro,google blazer,Google,blazer
1200,Google Pixel 6,google oriole,Google,oriole
988,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
987,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
970,Google Pixel 8a,google akita,Google,akita
960,Samsung Galaxy S25 Ultra,samsung pa3q,Samsung,pa3q
900,Google Pixel 6 Pro,google raven,Google,raven
853,Google Pixel 9a,google tegu,Google,tegu
715,POCO X7 Pro,POCO rodin,POCO,rodin
600,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
549,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
483,Google Pixel 10,google frankel,Google,frankel
448,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
422,CMF by Nothing Phone 1,Nothing Tetris,Nothing,Tetris
379,Samsung Galaxy Quantum5,samsung a55x,Samsung,a55x
375,Samsung Galaxy S25,samsung pa1q,Samsung,pa1q
367,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
339,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
319,Samsung Galaxy A15,samsung a15,Samsung,a15
