installations,gplay-name,gplay-technical-name,branding,device
4777,Google Pixel 8 Pro,google husky,Google,husky
2903,Google Pixel 8,google shiba,Google,shiba
2842,Google Pixel 7,google panther,Google,panther
2603,Google Pixel 9 Pro XL,google komodo,Google,komodo
2521,Google Pixel 7 Pro,google cheetah,Google,cheetah
2189,Google Pixel 6a,google bluejay,Google,bluejay
2101,Google Pixel 9 Pro,google caiman,Google,caiman
1414,Google Pixel 6,google oriole,Google,oriole
1299,Google Pixel 7a,google lynx,Google,lynx
1277,Google Pixel 9,google tokay,Google,tokay
1072,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
1072,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
997,Google Pixel 6 Pro,google raven,Google,raven
919,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
910,Google Pixel 8a,google akita,Google,akita
659,Google Pixel 10 Pro XL,google mustang,Google,mustang
654,Samsung Galaxy S25 Ultra,samsung pa3q,Samsung,pa3q
527,Google Pixel 9a,google tegu,Google,tegu
519,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
484,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
482,Google Pixel 10 Pro,google blazer,Google,blazer
390,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
388,CMF by Nothing Phone 1,Nothing Tetris,Nothing,Tetris
364,POCO X7 Pro,POCO rodin,POCO,rodin
334,Google Pixel 9 Pro Fold,google comet,Google,comet
333,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
326,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
309,Nothing Phone (2a),Nothing Pacman,Nothing,Pacman
305,Samsung Galaxy A55 5G,samsung a55x,Samsung,a55x
259,Samsung Galaxy S20 FE 5G,samsung r8q,Samsung,r8q
