installations,gplay-name,gplay-technical-name,branding,device
4847,Google Pixel 8 Pro,google husky,Google,husky
2948,Google Pixel 7,google panther,Google,panther
2928,Google Pixel 8,google shiba,Google,shiba
2655,Google Pixel 7 Pro,google cheetah,Google,cheetah
2516,Google Pixel 6a,google bluejay,Google,bluejay
2302,Google Pixel 9 Pro XL,google komodo,Google,komodo
1750,Google Pixel 9 Pro,google caiman,Google,caiman
1544,Google Pixel 6,google oriole,Google,oriole
1377,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
1376,Google Pixel 7a,google lynx,Google,lynx
1105,Google Pixel 6 Pro,google raven,Google,raven
964,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
931,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
888,Google Pixel 9,google tokay,Google,tokay
781,Google Pixel 8a,google akita,Google,akita
494,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
482,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
418,Samsung Galaxy S25 Ultra,samsung pa3q,Samsung,pa3q
397,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
373,CMF by Nothing Phone 1,Nothing Tetris,Nothing,Tetris
337,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
321,Google Pixel 9 Pro Fold,google comet,Google,comet
314,Nothing Phone (2a),Nothing Pacman,Nothing,Pacman
264,Samsung Galaxy A55 5G,samsung a55x,Samsung,a55x
253,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
251,Samsung Galaxy S20 FE,samsung r8q,Samsung,r8q
251,Samsung Galaxy A34 5G,samsung a34x,Samsung,a34x
224,Motorola motorola edge 50 pro,motorola eqe,Motorola,eqe
218,Samsung Galaxy A52s 5G,samsung a52sxq,Samsung,a52sxq
209,Samsung Galaxy S23+,samsung dm2q,Samsung,dm2q
